//Complete Material and Composite List
//Save this TAB as MaterialData.csv
TABLE MaterialData
CodeCat,MatList,Thkns,Rvalue,ThrmlCndct,Dens,SpecHt,ExtRoughness,// For Reference
Insulation Board,Extruded Polystyrene - XPS - 1 3/4 in. R8.75,1.75,8.75,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 1 7/8 in. R9.37,1.88,9.37,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 2 in. R10.00,2.00,10.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 2 1/2 in. R12.50,2.50,12.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 3 in. R15.00,3.00,15.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 3 1/2 in. R17.50,3.50,17.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 4 in. R20.00,4.00,20.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 4 1/2 in. R22.50,4.50,22.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 5 in. R25.00,5.00,25.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 5 1/2 in. R27.50,5.50,27.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 6 in. R30.00,6.00,30.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 6 1/2 in. R32.50,6.50,32.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 8 in. R40.00,8.00,40.00,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Extruded Polystyrene - XPS - 8 1/2 in. R42.50,8.50,42.50,0.016666667,1.30,0.35,MediumSmooth,CEC RJ
Insulation Board,Expanded Polyurethane - 1/2 in. R3.1,0.50,3.13,0.0133,1.00,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polyurethane - 3/4 in. R4.7,0.75,4.70,0.0133,1.00,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polyurethane - 1 in. R6.3,1.00,6.27,0.0133,1.00,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polyurethane - 1 1/4 in. R7.8,1.25,7.83,0.0133,1.00,0.27,MediumSmooth,CEC Doug
Insulation Board,Expanded Polyurethane - 2 in. R12.6,2.00,12.53,0.0133,1.00,0.27,MediumSmooth,CEC Doug
Insulation Board,Perlite board - 3/4 in. R1.9,0.75,1.88,0.0333,10.00,0.20,Rough,AEC
Insulation Board,Perlite board - 1 in. R2.5,1.00,2.50,0.0333,10.00,0.20,Rough,AEC
Insulation Board,Perlite board - 1 1/2 in. R3.8,1.50,3.75,0.0333,10.00,0.20,Rough,AEC
Insulation Board,Perlite board - 2 in. R5.0,2.00,5.00,0.0333,10.00,0.20,Rough,AEC
Insulation Board,R-24 Batt Wall - 8 in. R24,8.00,24.00,0.0278,1.19,0.23,VeryRough,CEC Doug
Insulation Board,Compliance Insulation R0.01,0.001596,0.01,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R0.02,0.003192,0.02,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R0.05,0.00798,0.05,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R0.10,0.01596,0.10,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R0.20,0.03192,0.20,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R0.50,0.0798,0.50,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R1.00,0.1596,1.00,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R1.35,0.21546,1.35,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R1.41,0.225036,1.41,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R1.54,0.245784,1.54,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R2.00,0.3192,2.00,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R2.15,0.34314,2.15,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R2.19,0.349524,2.19,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R2.85,0.45486,2.85,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R2.89,0.461244,2.89,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R3.63,0.579348,3.63,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R3.70,0.59052,3.70,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R3.80,0.60648,3.8,0.0133,1.00,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R5.00,0.798,5.00,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R5.60,0.89376,5.60,0.0133,1,0.27,MediumSmooth,S901G-2011
Insulation Board,Compliance Insulation R6.00,0.9576,6.00,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R6.32,1.008672,6.32,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R6.46,1.031016,6.46,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R7.10,1.13316,7.10,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R7.18,1.145928,7.18,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R7.39,1.179444,7.39,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R7.50,1.197,7.50,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R7.60,1.21296,7.60,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R8.00,1.2768,8.00,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R8.07,1.287972,8.07,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R9.40,1.50024,9.40,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R9.80,1.56408,9.80,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R9.83,1.56965004,9.83,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R9.94,1.586424,9.94,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R10.00,1.596,10.00,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R10.06,1.605576,10.06,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R11.70,1.86732,11.7,0.0133,1.00,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R12.50,1.995,12.50,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R12.55,2.00298,12.55,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R12.69,2.025324,12.69,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R13.50,2.1546,13.50,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R13.99,2.232804,13.99,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R14.14,2.256744,14.14,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R14.32,2.285472,14.32,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R14.60,2.33016,14.60,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R15.00,2.394,15.00,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R15.54,2.480184,15.54,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R16.20,2.58552,16.20,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R16.34,2.607864,16.34,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R16.58,2.646168,16.58,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R16.69,2.663724,16.69,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R17.67,2.820132,17.67,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R19.63,3.132948,19.63,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R20.00,3.192,20.00,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R20.05,3.19998,20.05,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R21.18,3.380328,21.18,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R21.39,3.413844,21.39,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R21.60,3.44736,21.60,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R22.48,3.587808,22.48,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R23.70,3.78252,23.70,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R24.80,3.95808,24.80,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R24.86,3.967656,24.86,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R25.16,4.015536,25.16,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R28.12,4.487952,28.12,0.0133,1,0.27,MediumSmooth,S901G-2010
Insulation Board,Compliance Insulation R28.63,4.569348,28.63,0.0133,1,0.27,MediumSmooth,AEC
Insulation Board,Compliance Insulation R34.93,5.574828,34.93,0.0133,1,0.27,MediumSmooth,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - closed sidewalls - 3 1/2 in.,3.50,10.42,0.028,2.00,0.20,Rough,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - 2 lb/ft3 - 4 in.,4.00,11.90,0.028,2.00,0.20,Rough,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - 2 lb/ft3 - 6 1/2 in.,6.50,19.35,0.028,2.00,0.20,Rough,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - 2 lb/ft3 - 7 1/2 in.,7.50,22.32,0.028,2.00,0.20,Rough,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - 2 lb/ft3 - 8 1/4 in.,8.25,24.55,0.028,2.00,0.20,Rough,AEC
Insulation Loose Fill,Loose fill - Mineral fiber - 2 lb/ft3 - 13 3/4 in.,13.75,40.92,0.028,2.00,0.20,Rough,AEC
Insulation Other,Rammed Earth,18.00,12.19,0.1233,115.00,0.20,Rough,CEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 3 1/2 in.,3.50,10.92,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 4 in.,4.00,12.48,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 4 1/2 in.,4.50,14.04,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 5 in.,5.00,15.61,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 5 1/2 in.,5.50,17.17,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 6 in.,6.00,18.73,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Cellulosic fiber - 4.6 lb/ft3 - 6 1/2 in.,6.50,20.29,0.0267,4.60,0.34,Rough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 3 1/2 in.,3.50,12.96,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 4 in.,4.00,14.81,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 4 1/2 in.,4.50,16.67,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 5 in.,5.00,18.52,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 5 1/2 in.,5.50,20.37,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 6 in.,6.00,22.22,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Glass fiber - 3.9 lb/ft3 - 6 1/2 in.,6.50,24.07,0.0225,3.90,0.23,MediumRough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 3 1/2 in.,3.50,11.67,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 4 in.,4.00,13.33,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 4 1/2 in.,4.50,15.00,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 5 in.,5.00,16.67,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 5 1/2 in.,5.50,18.33,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 6 in.,6.00,20.00,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 0.5 lb/ft3 - 6 1/2 in.,6.50,21.67,0.025,0.50,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 3 1/2 in.,3.50,17.50,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 4 in.,4.00,20.00,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 4 1/2 in.,4.50,22.50,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 5 in.,5.00,25.00,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 5 1/2 in.,5.50,27.50,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 6 in.,6.00,30.00,0.01667,3.00,0.35,Rough,AEC
Insulation Spray Applied,Spray applied - Polyurethane foam - 3.0 lb/ft3 - 6 1/2 in.,6.50,32.50,0.01667,3.00,0.35,Rough,AEC
Masonry Materials,Brick - 48 lb/ft3 - 3 5/8 in.,3.63,2.42,0.125,48.00,0.19,Rough,AEC
Masonry Materials,Brick - fired clay -  140 lb/ft3 - 3 5/8 in.,3.63,0.44,0.685,139.78,0.19,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 1 cell deep - 3 in.,3.00,0.80,0.3125,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 1 cell deep - 4 in.,4.00,1.11,0.3,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 2 cells deep - 6 in.,6.00,1.52,0.3292,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 2 cells deep - 8 in.,8.00,1.85,0.36,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 2 cells deep - 10 in.,10.00,2.22,0.375,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay tile - hollow - 3 cells deep - 12 in.,12.00,2.50,0.4,85.00,0.21,MediumRough,AEC
Masonry Materials,Clay Tile - Paver,0.38,0.03,1.042,139.78,0.22,MediumRough,CEC Doug
Masonry Materials,Concrete Paver,0.38,0.08,0.3752,144.00,0.20,MediumRough,CEC Bruce
Masonry Materials,Gypsum partition block - solid - 3 in. x 12 in. x 30 in. - 3 in.,3.00,1.26,0.1983,62.40,0.19,MediumRough,AEC
Masonry Materials,Gypsum partition block - 4 cells - 3 in. x 12 in. x 30 in. - 3 in.,3.00,1.35,0.185,53.10,0.19,MediumRough,AEC
Masonry Materials,Gypsum partition block - 3 cells - 4 in. x 12 in. x 30 in. - 4 in.,4.00,1.67,0.2,53.10,0.19,MediumRough,AEC
Masonry Materials,Stone - 1 in.,1.00,0.08,1.042,139.78,0.22,MediumRough,CEC Doug
Masonry Materials,1 Coat Stucco,0.38,0.08,0.4167,115.81,0.20,MediumRough,CEC RJ
Masonry Materials,3 Coat Stucco,0.88,0.20,0.3646,116.00,0.20,MediumRough,CEC Bruce
Masonry Materials,Synthetic Stucco - EIFS finish - 1 in.,1.00,4.00,0.0208,1.50,0.35,Smooth,AEC
Masonry Materials,Terrazzo - 1 in.,1.00,0.08,1.042,139.78,0.22,MediumRough,CEC Doug
Masonry Units Hollow,Clay - Part Grouted and Empty - 130 lb/ft3 - 6 in.,6,1.923,0.26,130,0.13,MediumRough,JA4-10
Masonry Units Hollow,Clay - Part Grouted and Empty - 130 lb/ft3 - 8 in.,8,2.128,0.3133,130,0.13,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 105 lb/ft3 - 6 in.,6,1.852,0.27,105,0.15,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 105 lb/ft3 - 8 in.,8,2,0.3333,105,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 105 lb/ft3 - 10 in.,10,2.174,0.3833,105,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 105 lb/ft3 - 12 in.,12,2.326,0.43,105,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 115 lb/ft3 - 6 in.,6,1.724,0.29,115,0.15,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 115 lb/ft3 - 8 in.,8,1.887,0.3533,115,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 115 lb/ft3 - 10 in.,10,2.041,0.4083,115,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 115 lb/ft3 - 12 in.,12,2.174,0.46,115,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 125 lb/ft3 - 6 in.,6,1.639,0.305,125,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 125 lb/ft3 - 8 in.,8,1.786,0.3733,125,0.13,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 125 lb/ft3 - 10 in.,10,1.923,0.4333,125,0.14,MediumRough,JA4-10
Masonry Units Hollow,Concrete - Part Grouted and Empty - 125 lb/ft3 - 12 in.,12,2.041,0.49,125,0.13,MediumRough,JA4-10
Masonry Units Solid,Clay - Solid Grout - 130 lb/ft3 - 6 in.,6,1.538,0.325,130,0.17,MediumRough,JA4-10
Masonry Units Solid,Clay - Solid Grout - 130 lb/ft3 - 8 in.,8,1.754,0.38,130,0.17,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 105 lb/ft3 - 6 in.,6,0.72,0.6944,105,0.21,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 105 lb/ft3 - 8 in.,8,0.96,0.6944,105,0.22,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 105 lb/ft3 - 10 in.,10,1.18,0.7062,105,0.22,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 105 lb/ft3 - 12 in.,12,1.4,0.7142,105,0.22,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 115 lb/ft3 - 6 in.,6,0.59,0.8475,115,0.2,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 115 lb/ft3 - 8 in.,8,0.877,0.7602,115,0.2,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 115 lb/ft3 - 10 in.,10,1.09,0.7645,115,0.21,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 115 lb/ft3 - 12 in.,12,1.3,0.7692,115,0.21,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 125 lb/ft3 - 6 in.,6,0.59,0.8475,125,0.19,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 125 lb/ft3 - 8 in.,8,0.79,0.8439,125,0.2,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 125 lb/ft3 - 10 in.,10,0.99,0.8418,125,0.2,MediumRough,JA4-10
Masonry Units Solid,Concrete - Solid Grout - 125 lb/ft3 - 12 in.,12,1.19,0.8403,125,0.2,MediumRough,JA4-10
Masonry Units with Fill,Clay - Part Grouted and Insulated - 130 lb/ft3 - 6 in.,6,2.222,0.225,130,0.13,MediumRough,JA4-10
Masonry Units with Fill,Clay - Part Grouted and Insulated - 130 lb/ft3 - 8 in.,8,2.564,0.26,130,0.13,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 105 lb/ft3 - 6 in.,6,2.273,0.22,105,0.15,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 105 lb/ft3 - 8 in.,8,2.703,0.2467,105,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 105 lb/ft3 - 10 in.,10,2.941,0.2833,105,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 105 lb/ft3 - 12 in.,12,3.333,0.3,105,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 115 lb/ft3 - 6 in.,6,2.083,0.24,115,0.15,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 115 lb/ft3 - 8 in.,8,2.439,0.2733,115,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 115 lb/ft3 - 10 in.,10,2.703,0.3083,115,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 115 lb/ft3 - 12 in.,12,3.03,0.33,115,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 125 lb/ft3 - 6 in.,6,1.923,0.26,125,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 125 lb/ft3 - 8 in.,8,2.273,0.2933,125,0.13,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 125 lb/ft3 - 10 in.,10,2.439,0.3417,125,0.14,MediumRough,JA4-10
Masonry Units with Fill,Concrete - Part Grouted and Insulated - 125 lb/ft3 - 12 in.,12,2.778,0.36,125,0.13,MediumRough,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 2 in.,2,11.971,0.01392,34.87,0.26,Smooth,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 2 1/2 in.,2.5,15.023,0.01387,28.47,0.26,Smooth,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 3 in.,3,18.018,0.01388,24.11,0.26,Smooth,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 4 in.,4,23.54,0.01416,18.54,0.26,Smooth,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 5 in.,5,29.453,0.01415,15.14,0.27,Smooth,JA4-10
Metal Insulated Panel Wall,Metal Insulated Panels - 6 in.,6,36.187,0.01382,12.84,0.27,Smooth,JA4-10
Plastering Materials,Aggregate - 45 lb/ft3 - 1/2 in.,0.50,0.32,0.13,45.00,0.32,MediumSmooth,AEC
Plastering Materials,Aggregate - 45 lb/ft3 - 5/8 in.,0.63,0.39,0.1333,45.00,0.32,MediumSmooth,AEC
Plastering Materials,Aggregate - 45 lb/ft3 - on metal lath - 3/4 in.,0.75,0.47,0.1333,45.00,0.32,MediumSmooth,AEC
Plastering Materials,Aggregate - Perlite - 1/2 in.,0.50,0.38,0.1083,45.00,0.32,Smooth,AEC
Plastering Materials,Aggregate - Perlite - 5/8 in.,0.63,0.42,0.125,45.00,0.32,Smooth,AEC
Plastering Materials,Aggregate - Perlite - on metal lath - 3/4 in.,0.75,0.44,0.1417,45.00,0.32,Smooth,AEC
Plastering Materials,Concrete/Sand Aggregate - 6 in.,6.01,1.40,0.3575,116.00,0.20,Smooth,CEC Doug
Plastering Materials,Gypsum plaster - 80 lb/ft3 - 1/2 in.,0.50,0.16,0.2667,80.00,0.26,Smooth,AEC
Plastering Materials,Gypsum plaster - 80 lb/ft3 - 5/8 in.,0.63,0.20,0.2667,80.00,0.26,Smooth,AEC
Plastering Materials,Gypsum plaster - on metal lath 70 lb/ft3 - 3/4 in.,0.75,0.29,0.2167,70.00,0.26,Smooth,AEC
Plastering Materials,Gypsum plaster - on metal lath 80 lb/ft3 - 3/4 in.,0.75,0.23,0.2667,80.00,0.26,Smooth,AEC
Plastering Materials,Mortar - Cement - 1 in.,1.01,0.20,0.4192,116.00,0.20,Smooth,CEC Doug
Plastering Materials,Mortar - Cement - 1 3/4 in.,1.76,0.35,0.4175,116.00,0.20,Smooth,CEC Doug
Plastering Materials,Perlite plaster - 25 lb/ft3 - 1/2 in.,0.50,0.83,0.05,25.00,0.32,Smooth,AEC
Plastering Materials,Perlite plaster - 38 lb/ft3 - 1/2 in.,0.50,0.38,0.1083,38.00,0.32,Smooth,AEC
Plastering Materials,Plaster/Sand Aggregate - 1 in.,1.01,0.20,0.4192,116.00,0.20,Smooth,CEC Doug
Plastering Materials,Pulpboard or paper plaster - 1/2 in.,0.50,1.00,0.0417,38.00,0.32,Smooth,AEC
Plastering Materials,Sand aggregate - 3/8 in.,0.38,0.07,0.4292,116.00,0.20,Smooth,AEC
Plastering Materials,Sand aggregate - 1/2 in.,0.50,0.09,0.4542,105.00,0.20,Smooth,AEC
Plastering Materials,Sand aggregate - 5/8 in.,0.63,0.11,0.4667,105.00,0.20,Smooth,AEC
Plastering Materials,Sand aggregate - 3/4 in.,0.75,0.14,0.4233,116.00,0.20,Smooth,AEC
Plastering Materials,Sand aggregate on metal lath - 3/4 in.,0.75,0.13,0.4808,105.00,0.20,Smooth,AEC
Plastering Materials,Vermiculite aggregate - 45 lb/ft3 - 1/2 in.,0.50,0.29,0.1417,45.00,0.32,Smooth,AEC
Plastering Materials,Stucco - 3/8 in.,0.38,0.08,0.4167,115.81,0.20,Smooth,CEC Doug
Plastering Materials,Stucco - 7/8 in.,0.88,0.18,0.405,115.81,0.20,Smooth,CEC Doug
Plastering Materials,Synthetic Stucco - EIFS finish - 1 in.,1.00,4.00,0.0208,1.50,0.35,Smooth,AEC
Roofing,5 PSF Roof - 1/2 in.,0.50,0.08,0.5002,120.00,0.20,VeryRough,CEC Bruce
Roofing,10 PSF Roof - 1 in.,1.00,0.08,1.0004,120.00,0.20,VeryRough,CEC Bruce
