;,2019 CEC Non-Residential 15 yr Electric Demand Hourly Multipliers,,
32404,0,,
32405,0,,
32406,0,,
32407,0,,
32408,0,,
32409,0,,
32410,0,,
32411,0,,
32412,0,,
32413,0,,
32414,0,,
32415,0,,
32416,0,,
32417,0,,
32418,0,,
32419,0,,
32420,0,,
32421,0,,
32422,0,,
32423,0,,
32424,0,,
32501,0,,
32502,0,,
32503,0,,
32504,0,,
32505,0,,
32506,0,,
32507,0,,
32508,0,,
32509,0,,
32510,0,,
32511,0,,
32512,0,,
32513,0,,
32514,0,,
32515,0,,
32516,0,,
32517,0,,
32518,0,,
32519,0,,
32520,0,,
32521,0,,
32522,0,,
32523,0,,
32524,0,,
32601,0,,
32602,0,,
32603,0,,
32604,0,,
32605,0,,
32606,0,,
32607,0,,
32608,0,,
32609,0,,
32610,0,,
32611,0,,
32612,0,,
32613,0,,
32614,0,,
32615,0,,
32616,0,,
32617,0,,
32618,0,,
32619,0,,
32620,0,,
32621,0,,
32622,0,,
32623,0,,
32624,0,,
32701,0,,
32702,0,,
32703,0,,
32704,0,,
32705,0,,
32706,0,,
32707,0,,
32708,0,,
32709,0,,
32710,0,,
32711,0,,
32712,0,,
32713,0,,
32714,0,,
32715,0,,
32716,0,,
32717,0,,
32718,0,,
32719,0,,
32720,0,,
32721,0,,
32722,0,,
32723,0,,
32724,0,,
32801,0,,
32802,0,,
32803,0,,
32804,0,,
32805,0,,
32806,0,,
32807,0,,
32808,0,,
32809,0,,
32810,0,,
32811,0,,
32812,0,,
32813,0,,
32814,0,,
32815,0,,
32816,0,,
32817,0,,
32818,0,,
32819,0,,
32820,0,,
32821,0,,
32822,0,,
32823,0,,
32824,0,,
32901,0,,
32902,0,,
32903,0,,
32904,0,,
32905,0,,
32906,0,,
32907,0,,
32908,0,,
32909,0,,
32910,0,,
32911,0,,
32912,0,,
32913,0,,
32914,0,,
32915,0,,
32916,0,,
32917,0,,
32918,0,,
32919,0,,
32920,0,,
32921,0,,
32922,0,,
32923,0,,
32924,0,,
33001,0,,
33002,0,,
33003,0,,
33004,0,,
33005,0,,
33006,0,,
33007,0,,
33008,0,,
33009,0,,
33010,0,,
33011,0,,
33012,0,,
33013,0,,
33014,0,,
33015,0,,
33016,0,,
33017,0,,
33018,0,,
33019,0,,
33020,0,,
33021,0,,
33022,0,,
33023,0,,
33024,0,,
33101,0,,
33102,0,,
33103,0,,
33104,0,,
33105,0,,
33106,0,,
33107,0,,
33108,0,,
33109,0,,
33110,0,,
33111,0,,
33112,0,,
33113,0,,
33114,0,,
33115,0,,
33116,0,,
33117,0,,
33118,0,,
33119,0,,
33120,0,,
33121,0,,
33122,0,,
33123,0,,
33124,0,,
40101,0,,
40102,0,,
40103,0,,
40104,0,,
40105,0,,
40106,0,,
40107,0,,
40108,0,,
40109,0,,
40110,0,,
40111,0,,
40112,0,,
40113,0,,
40114,0,,
40115,0,,
40116,0,,
40117,0,,
40118,0,,
40119,0,,
40120,0,,
40121,0,,
40122,0,,
40123,0,,
40124,0,,
40201,0,,
40202,0,,
40203,0,,
40204,0,,
40205,0,,
40206,0,,
40207,0,,
40208,0,,
40209,0,,
40210,0,,
40211,0,,
40212,0,,
40213,0,,
40214,0,,
40215,0,,
40216,0,,
40217,0,,
40218,0,,
40219,0,,
40220,0,,
40221,0,,
40222,0,,
40223,0,,
40224,0,,
40301,0,,
40302,0,,
40303,0,,
40304,0,,
40305,0,,
40306,0,,
40307,0,,
40308,0,,
40309,0,,
40310,0,,
40311,0,,
40312,0,,
40313,0,,
40314,0,,
40315,0,,
40316,0,,
40317,0,,
40318,0,,
40319,0,,
40320,0,,
40321,0,,
40322,0,,
40323,0,,
40324,0,,
40401,0,,
40402,0,,
40403,0,,
40404,0,,
40405,0,,
40406,0,,
40407,0,,
40408,0,,
40409,0,,
40410,0,,
40411,0,,
40412,0,,
40413,0,,
40414,0,,
40415,0,,
40416,0,,
40417,0,,
40418,0,,
40419,0,,
40420,0,,
40421,0,,
40422,0,,
40423,0,,
40424,0,,
40501,0,,
40502,0,,
40503,0,,
40504,0,,
40505,0,,
40506,0,,
40507,0,,
40508,0,,
40509,0,,
40510,0,,
40511,0,,
40512,0,,
40513,0,,
40514,0,,
40515,0,,
40516,0,,
40517,0,,
40518,0,,
40519,0,,
40520,0,,
40521,0,,
40522,0,,
40523,0,,
40524,0,,
40601,0,,
40602,0,,
40603,0,,
40604,0,,
40605,0,,
40606,0,,
40607,0,,
40608,0,,
40609,0,,
40610,0,,
40611,0,,
40612,0,,
40613,0,,
40614,0,,
40615,0,,
40616,0,,
40617,0,,
40618,0,,
40619,0,,
40620,0,,
40621,0,,
40622,0,,
40623,0,,
40624,0,,
40701,0,,
40702,0,,
40703,0,,
40704,0,,
40705,0,,
40706,0,,
40707,0,,
40708,0,,
40709,0,,
40710,0,,
40711,0,,
40712,0,,
40713,0,,
40714,0,,
40715,0,,
40716,0,,
40717,0,,
40718,0,,
40719,0,,
40720,0,,
40721,0,,
40722,0,,
40723,0,,
40724,0,,
40801,0,,
40802,0,,
40803,0,,
40804,0,,
40805,0,,
40806,0,,
40807,0,,
40808,0,,
40809,0,,
40810,0,,
40811,0,,
40812,0,,
40813,0,,
40814,0,,
40815,0,,
40816,0,,
40817,0,,
40818,0,,
40819,0,,
40820,0,,
40821,0,,
40822,0,,
40823,0,,
40824,0,,
40901,0,,
40902,0,,
40903,0,,
40904,0,,
40905,0,,
40906,0,,
40907,0,,
40908,0,,
40909,0,,
40910,0,,
40911,0,,
40912,0,,
40913,0,,
40914,0,,
40915,0,,
40916,0,,
40917,0,,
40918,0,,
40919,0,,
40920,0,,
40921,0,,
40922,0,,
40923,0,,
40924,0,,
41001,0,,
41002,0,,
41003,0,,
41004,0,,
41005,0,,
41006,0,,
41007,0,,
41008,0,,
41009,0,,
41010,0,,
41011,0,,
41012,0,,
41013,0,,
41014,0,,
41015,0,,
41016,0,,
41017,0,,
41018,0,,
41019,0,,
41020,0,,
41021,0,,
41022,0,,
41023,0,,
41024,0,,
41101,0,,
41102,0,,
41103,0,,
41104,0,,
41105,0,,
41106,0,,
41107,0,,
41108,0,,
41109,0,,
41110,0,,
41111,0,,
41112,0,,
41113,0,,
41114,0,,
41115,0,,
41116,0,,
41117,0,,
41118,0,,
41119,0,,
41120,0,,
41121,0,,
41122,0,,
41123,0,,
41124,0,,
41201,0,,
41202,0,,
41203,0,,
41204,0,,
41205,0,,
41206,0,,
41207,0,,
41208,0,,
41209,0,,
41210,0,,
41211,0,,
41212,0,,
41213,0,,
41214,0,,
41215,0,,
41216,0,,
41217,0,,
41218,0,,
41219,0,,
41220,0,,
41221,0,,
41222,0,,
41223,0,,
41224,0,,
41301,0,,
41302,0,,
41303,0,,
41304,0,,
41305,0,,
41306,0,,
41307,0,,
41308,0,,
41309,0,,
41310,0,,
41311,0,,
41312,0,,
41313,0,,
41314,0,,
41315,0,,
41316,0,,
41317,0,,
41318,0,,
41319,0,,
41320,0,,
41321,0,,
41322,0,,
41323,0,,
41324,0,,
41401,0,,
41402,0,,
41403,0,,
41404,0,,
41405,0,,
41406,0,,
41407,0,,
41408,0,,
41409,0,,
41410,0,,
41411,0,,
41412,0,,
41413,0,,
41414,0,,
41415,0,,
41416,0,,
41417,0,,
41418,0,,
41419,0,,
41420,0,,
41421,0,,
41422,0,,
41423,0,,
41424,0,,
41501,0,,
41502,0,,
41503,0,,
41504,0,,
41505,0,,
41506,0,,
41507,0,,
41508,0,,
41509,0,,
41510,0,,
41511,0,,
41512,0,,
41513,0,,
41514,0,,
41515,0,,
41516,0,,
41517,0,,
41518,0,,
41519,0,,
41520,0,,
41521,0,,
41522,0,,
41523,0,,
41524,0,,
41601,0,,
41602,0,,
41603,0,,
41604,0,,
41605,0,,
41606,0,,
41607,0,,
41608,0,,
41609,0,,
41610,0,,
41611,0,,
41612,0,,
41613,0,,
41614,0,,
41615,0,,
41616,0,,
41617,0,,
41618,0,,
41619,0,,
41620,0,,
41621,0,,
41622,0,,
41623,0,,
41624,0,,
41701,0,,
41702,0,,
41703,0,,
41704,0,,
41705,0,,
41706,0,,
41707,0,,
41708,0,,
41709,0,,
41710,0,,
41711,0,,
41712,0,,
41713,0,,
41714,0,,
41715,0,,
41716,0,,
41717,0,,
41718,0,,
41719,0,,
41720,0,,
41721,0,,
41722,0,,
41723,0,,
41724,0,,
41801,0,,
41802,0,,
41803,0,,
41804,0,,
41805,0,,
41806,0,,
41807,0,,
41808,0,,
41809,0,,
41810,0,,
41811,0,,
41812,0,,
41813,0,,
41814,0,,
41815,0,,
41816,0,,
41817,0,,
41818,0,,
41819,0,,
41820,0,,
41821,0,,
41822,0,,
41823,0,,
41824,0,,
41901,0,,
41902,0,,
41903,0,,
41904,0,,
41905,0,,
41906,0,,
41907,0,,
41908,0,,
41909,0,,
41910,0,,
41911,0,,
41912,0,,
41913,0,,
41914,0,,
41915,0,,
41916,0,,
41917,0,,
41918,0,,
41919,0,,
41920,0,,
41921,0,,
41922,0,,
41923,0,,
41924,0,,
42001,0,,
42002,0,,
42003,0,,
42004,0,,
42005,0,,
42006,0,,
42007,0,,
42008,0,,
42009,0,,
42010,0,,
42011,0,,
42012,0,,
42013,0,,
42014,0,,
42015,0,,
42016,0,,
42017,0,,
42018,0,,
42019,0,,
42020,0,,
42021,0,,
42022,0,,
42023,0,,
42024,0,,
42101,0,,
42102,0,,
42103,0,,
42104,0,,
42105,0,,
42106,0,,
42107,0,,
42108,0,,
42109,0,,
42110,0,,
42111,0,,
42112,0,,
42113,0,,
42114,0,,
42115,0,,
42116,0,,
42117,0,,
42118,0,,
42119,0,,
42120,0,,
42121,0,,
42122,0,,
42123,0,,
42124,0,,
42201,0,,
42202,0,,
42203,0,,
42204,0,,
42205,0,,
42206,0,,
42207,0,,
42208,0,,
42209,0,,
42210,0,,
42211,0,,
42212,0,,
42213,0,,
42214,0,,
42215,0,,
42216,0,,
42217,0,,
42218,0,,
42219,0,,
42220,0,,
42221,0,,
42222,0,,
42223,0,,
42224,0,,
42301,0,,
42302,0,,
42303,0,,
42304,0,,
42305,0,,
42306,0,,
42307,0,,
42308,0,,
42309,0,,
42310,0,,
42311,0,,
42312,0,,
42313,0,,
42314,0,,
42315,0,,
42316,0,,
42317,0,,
42318,0,,
42319,0,,
42320,0,,
42321,0,,
42322,0,,
42323,0,,
42324,0,,
42401,0,,
42402,0,,
42403,0,,
42404,0,,
42405,0,,
42406,0,,
42407,0,,
42408,0,,
42409,0,,
42410,0,,
42411,0,,
42412,0,,
42413,0,,
42414,0,,
42415,0,,
42416,0,,
42417,0,,
42418,0,,
42419,0,,
42420,0,,
42421,0,,
42422,0,,
42423,0,,
42424,0,,
42501,0,,
42502,0,,
42503,0,,
42504,0,,
42505,0,,
42506,0,,
42507,0,,
42508,0,,
42509,0,,
42510,0,,
42511,0,,
42512,0,,
42513,0,,
42514,0,,
42515,0,,
42516,0,,
42517,0,,
42518,0,,
42519,0,,
42520,0,,
42521,0,,
42522,0,,
42523,0,,
42524,0,,
42601,0,,
42602,0,,
42603,0,,
42604,0,,
42605,0,,
42606,0,,
42607,0,,
42608,0,,
42609,0,,
42610,0,,
42611,0,,
42612,0,,
42613,0,,
42614,0,,
42615,0,,
42616,0,,
42617,0,,
42618,0,,
42619,0,,
42620,0,,
42621,0,,
42622,0,,
42623,0,,
42624,0,,
42701,0,,
42702,0,,
42703,0,,
42704,0,,
42705,0,,
42706,0,,
42707,0,,
42708,0,,
42709,0,,
42710,0,,
42711,0,,
42712,0,,
42713,0,,
42714,0,,
42715,0,,
42716,0,,
42717,0,,
42718,0,,
42719,0,,
42720,0,,
42721,0,,
42722,0,,
42723,0,,
42724,0,,
42801,0,,
42802,0,,
42803,0,,
42804,0,,
42805,0,,
42806,0,,
42807,0,,
42808,0,,
42809,0,,
42810,0,,
42811,0,,
42812,0,,
42813,0,,
42814,0,,
42815,0,,
42816,0,,
42817,0,,
42818,0,,
42819,0,,
42820,0,,
42821,0,,
42822,0,,
42823,0,,
42824,0,,
42901,0,,
42902,0,,
42903,0,,
42904,0,,
42905,0,,
42906,0,,
42907,0,,
42908,0,,
42909,0,,
42910,0,,
42911,0,,
42912,0,,
42913,0,,
42914,0,,
42915,0,,
42916,0,,
42917,0,,
42918,0,,
42919,0,,
42920,0,,
42921,0,,
42922,0,,
42923,0,,
42924,0,,
43001,0,,
43002,0,,
43003,0,,
43004,0,,
43005,0,,
43006,0,,
43007,0,,
43008,0,,
43009,0,,
43010,0,,
43011,0,,
43012,0,,
43013,0,,
43014,0,,
43015,0,,
43016,0,,
43017,0,,
43018,0,,
43019,0,,
43020,0,,
43021,0,,
43022,0,,
43023,0,,
43024,0,,
50101,0,,
50102,0,,
50103,0,,
50104,0,,
50105,0,,
50106,0,,
50107,0,,
50108,0,,
50109,0,,
50110,0,,
50111,0,,
50112,0,,
50113,0,,
50114,0,,
50115,0,,
50116,0,,
50117,0,,
50118,0,,
50119,0,,
50120,0,,
50121,0,,
50122,0,,
50123,0,,
50124,0,,
50201,0,,
50202,0,,
50203,0,,
50204,0,,
50205,0,,
50206,0,,
50207,0,,
50208,0,,
50209,0,,
50210,0,,
50211,0,,
50212,0,,
50213,0,,
50214,0,,
50215,0,,
50216,0,,
50217,0,,
50218,0,,
50219,0,,
50220,0,,
50221,0,,
50222,0,,
50223,0,,
50224,0,,
50301,0,,
50302,0,,
50303,0,,
50304,0,,
50305,0,,
50306,0,,
50307,0,,
50308,0,,
50309,0,,
50310,0,,
50311,0,,
50312,0,,
50313,0,,
50314,0,,
50315,0,,
50316,0,,
50317,0,,
50318,0,,
50319,0,,
50320,0,,
50321,0,,
50322,0,,
50323,0,,
50324,0,,
50401,0,,
50402,0,,
50403,0,,
50404,0,,
50405,0,,
50406,0,,
50407,0,,
50408,0,,
50409,0,,
50410,0,,
50411,0,,
50412,0,,
50413,0,,
50414,0,,
50415,0,,
50416,0,,
50417,0,,
50418,0,,
50419,0,,
50420,0,,
50421,0,,
50422,0,,
50423,0,,
50424,0,,
50501,0,,
50502,0,,
50503,0,,
50504,0,,
50505,0,,
50506,0,,
50507,0,,
50508,0,,
50509,0,,
50510,0,,
50511,0,,
50512,0,,
50513,0,,
50514,0,,
50515,0,,
50516,0,,
50517,0,,
50518,0,,
50519,0,,
50520,0,,
50521,0,,
50522,0,,
50523,0,,
50524,0,,
50601,0,,
50602,0,,
50603,0,,
50604,0,,
50605,0,,
50606,0,,
50607,0,,
50608,0,,
50609,0,,
50610,0,,
50611,0,,
50612,0,,
50613,0,,
50614,0,,
50615,0,,
50616,0,,
50617,0,,
50618,0,,
50619,0,,
50620,0,,
50621,0,,
50622,0,,
50623,0,,
50624,0,,
50701,0,,
50702,0,,
50703,0,,
50704,0,,
50705,0,,
50706,0,,
50707,0,,
50708,0,,
50709,0,,
50710,0,,
50711,0,,
50712,0,,
50713,0,,
50714,0,,
50715,0,,
50716,0,,
50717,0,,
50718,0,,
50719,0,,
50720,0,,
50721,0,,
50722,0,,
50723,0,,
50724,0,,
50801,0,,
50802,0,,
50803,0,,
50804,0,,
50805,0,,
50806,0,,
50807,0,,
50808,0,,
50809,0,,
50810,0,,
50811,0,,
50812,0,,
50813,0,,
50814,0,,
50815,0,,
50816,0,,
50817,0,,
50818,0,,
50819,0,,
50820,0,,
50821,0,,
50822,0,,
50823,0,,
50824,0,,
50901,0,,
50902,0,,
50903,0,,
50904,0,,
50905,0,,
50906,0,,
50907,0,,
50908,0,,
50909,0,,
50910,0,,
50911,0,,
50912,0,,
50913,0,,
50914,0,,
50915,0,,
50916,0,,
50917,0,,
50918,0,,
50919,0,,
50920,0,,
50921,0,,
50922,0,,
50923,0,,
50924,0,,
51001,0,,
51002,0,,
51003,0,,
51004,0,,
51005,0,,
51006,0,,
51007,0,,
51008,0,,
51009,0,,
51010,0,,
51011,0,,
51012,0,,
51013,0,,
51014,0,,
51015,0,,
51016,0,,
51017,0,,
51018,0,,
51019,0,,
51020,0,,
51021,0,,
51022,0,,
51023,0,,
51024,0,,
51101,0,,
51102,0,,
51103,0,,
51104,0,,
51105,0,,
51106,0,,
51107,0,,
51108,0,,
51109,0,,
51110,0,,
51111,0,,
51112,0,,
51113,0,,
51114,0,,
51115,0,,
51116,0,,
51117,0,,
51118,0,,
51119,0,,
51120,0,,
51121,0,,
51122,0,,
51123,0,,
51124,0,,
51201,0,,
51202,0,,
51203,0,,
51204,0,,
51205,0,,
51206,0,,
51207,0,,
51208,0,,
51209,0,,
51210,0,,
51211,0,,
51212,0,,
51213,0,,
51214,0,,
51215,0,,
51216,0,,
51217,0,,
51218,0,,
51219,0,,
51220,0,,
51221,0,,
51222,0,,
51223,0,,
51224,0,,
51301,0,,
51302,0,,
51303,0,,
51304,0,,
51305,0,,
51306,0,,
51307,0,,
51308,0,,
51309,0,,
51310,0,,
51311,0,,
51312,0,,
51313,0,,
51314,0,,
51315,0,,
51316,0,,
51317,0,,
51318,0,,
51319,0,,
51320,0,,
51321,0,,
51322,0,,
51323,0,,
51324,0,,
51401,0,,
51402,0,,
51403,0,,
51404,0,,
51405,0,,
51406,0,,
51407,0,,
51408,0,,
51409,0,,
51410,0,,
51411,0,,
51412,0,,
51413,0,,
51414,0,,
51415,0,,
51416,0,,
51417,0,,
51418,0,,
51419,0,,
51420,0,,
51421,0,,
51422,0,,
51423,0,,
51424,0,,
51501,0,,
51502,0,,
51503,0,,
51504,0,,
51505,0,,
51506,0,,
51507,0,,
51508,0,,
51509,0,,
51510,0,,
51511,0,,
51512,0,,
51513,0,,
51514,0,,
51515,0,,
51516,0,,
51517,0,,
51518,0,,
51519,0,,
51520,0,,
51521,0,,
51522,0,,
51523,0,,
51524,0,,
51601,0,,
51602,0,,
51603,0,,
51604,0,,
51605,0,,
51606,0,,
51607,0,,
51608,0,,
51609,0,,
51610,0,,
51611,0,,
51612,0,,
51613,0,,
51614,0,,
51615,0,,
51616,0,,
51617,0,,
51618,0,,
51619,0,,
51620,0,,
51621,0,,
51622,0,,
51623,0,,
51624,0,,
51701,0,,
51702,0,,
51703,0,,
51704,0,,
51705,0,,
51706,0,,
51707,0,,
51708,0,,
51709,0,,
51710,0,,
51711,0,,
51712,0,,
51713,0,,
51714,0,,
51715,0,,
51716,0,,
51717,0,,
51718,0,,
51719,0,,
51720,0,,
51721,0,,
51722,0,,
51723,0,,
51724,0,,
51801,0,,
51802,0,,
51803,0,,
51804,0,,
51805,0,,
51806,0,,
51807,0,,
51808,0,,
51809,0,,
51810,0,,
51811,0,,
51812,0,,
51813,0,,
51814,0,,
51815,0,,
51816,0,,
51817,0,,
51818,0,,
51819,0,,
51820,0,,
51821,0,,
51822,0,,
51823,0,,
51824,0,,
51901,0,,
51902,0,,
51903,0,,
51904,0,,
51905,0,,
51906,0,,
51907,0,,
51908,0,,
51909,0,,
51910,0,,
51911,0,,
51912,0,,
51913,0,,
51914,0,,
51915,0,,
51916,0,,
51917,0,,
51918,0,,
51919,0,,
51920,0,,
51921,0,,
51922,0,,
51923,0,,
51924,0,,
52001,0,,
52002,0,,
52003,0,,
52004,0,,
52005,0,,
52006,0,,
52007,0,,
52008,0,,
52009,0,,
52010,0,,
52011,0,,
52012,0,,
52013,0,,
52014,0,,
52015,0,,
52016,0,,
52017,0,,
52018,0,,
52019,0,,
52020,0,,
52021,0,,
52022,0,,
52023,0,,
52024,0,,
52101,0,,
52102,0,,
52103,0,,
52104,0,,
52105,0,,
52106,0,,
52107,0,,
52108,0,,
52109,0,,
52110,0,,
52111,0,,
52112,0,,
52113,0,,
52114,0,,
52115,2.31757E-14,,
52116,7.17953E-13,,
52117,5.82659E-10,,
52118,4.78662E-10,,
52119,5.61803E-07,,
52120,5.61922E-06,,
52121,5.18677E-10,,
52122,0,,
52123,0,,
52124,0,,
52201,0,,
52202,0,,
52203,0,,
52204,0,,
52205,0,,
52206,0,,
52207,0,,
52208,0,,
52209,0,,
52210,0,,
52211,0,,
52212,0,,
52213,0,,
52214,0,,
52215,0,,
52216,0,,
52217,0,,
52218,0,,
52219,0,,
52220,0,,
52221,0,,
52222,0,,
52223,0,,
52224,0,,
52301,0,,
52302,0,,
52303,0,,
52304,0,,
52305,0,,
52306,0,,
52307,0,,
52308,0,,
52309,0,,
52310,0,,
52311,0,,
52312,0,,
52313,0,,
52314,0,,
52315,0,,
52316,0,,
52317,0,,
52318,0,,
52319,0,,
52320,0,,
52321,0,,
52322,0,,
52323,0,,
52324,0,,
52401,0,,
52402,0,,
52403,0,,
52404,0,,
52405,0,,
52406,0,,
52407,0,,
52408,0,,
52409,0,,
52410,0,,
52411,0,,
52412,0,,
52413,0,,
52414,0,,
52415,0,,
52416,0,,
52417,0,,
52418,0,,
52419,0,,
52420,0,,
52421,0,,
52422,0,,
52423,0,,
52424,0,,
52501,0,,
52502,0,,
52503,0,,
52504,0,,
52505,0,,
52506,0,,
52507,0,,
52508,0,,
52509,0,,
52510,0,,
52511,0,,
52512,0,,
52513,0,,
52514,0,,
52515,0,,
52516,0,,
52517,0,,
52518,0,,
52519,0,,
52520,0,,
52521,0,,
52522,0,,
52523,0,,
52524,0,,
52601,0,,
52602,0,,
52603,0,,
52604,0,,
52605,0,,
52606,0,,
52607,0,,
52608,0,,
52609,0,,
52610,0,,
52611,0,,
52612,0,,
52613,0,,
52614,0,,
52615,0,,
52616,0,,
52617,0,,
52618,0,,
52619,0,,
52620,0,,
52621,0,,
52622,0,,
52623,0,,
52624,0,,
52701,0,,
52702,0,,
52703,0,,
52704,0,,
52705,0,,
52706,0,,
52707,0,,
52708,0,,
52709,0,,
52710,0,,
52711,0,,
52712,0,,
52713,0,,
52714,0,,
52715,0,,
52716,0,,
52717,0,,
52718,0,,
52719,0,,
52720,0,,
52721,0,,
52722,0,,
52723,0,,
52724,0,,
52801,0,,
52802,0,,
52803,0,,
52804,0,,
52805,0,,
52806,0,,
52807,0,,
52808,0,,
52809,0,,
52810,0,,
52811,0,,
52812,0,,
52813,0,,
52814,0,,
52815,2.31757E-14,,
52816,7.17953E-13,,
52817,5.82659E-10,,
52818,4.78662E-10,,
52819,5.61803E-07,,
52820,5.61922E-06,,
52821,5.18677E-10,,
52822,0,,
52823,0,,
52824,0,,
52901,0,,
52902,0,,
52903,0,,
52904,0,,
52905,0,,
52906,0,,
52907,0,,
52908,0,,
52909,0,,
52910,0,,
52911,0,,
52912,0,,
52913,0,,
52914,0,,
52915,0,,
52916,0,,
52917,0,,
52918,0,,
52919,0,,
52920,0,,
52921,0,,
52922,0,,
52923,0,,
52924,0,,
53001,0,,
53002,0,,
53003,0,,
53004,0,,
53005,0,,
53006,0,,
53007,0,,
53008,0,,
53009,0,,
53010,0,,
53011,0,,
53012,0,,
53013,0,,
53014,0,,
53015,0,,
53016,0,,
53017,0,,
53018,0,,
53019,0,,
53020,0,,
53021,0,,
53022,0,,
53023,0,,
53024,0,,
53101,0,,
53102,0,,
53103,0,,
53104,0,,
53105,0,,
53106,0,,
53107,0,,
53108,0,,
53109,0,,
53110,0,,
53111,0,,
53112,0,,
53113,0,,
53114,0,,
53115,0,,
53116,0,,
53117,0,,
53118,0,,
53119,0,,
53120,0,,
53121,0,,
53122,0,,
53123,0,,
53124,0,,
60101,0,,
60102,0,,
60103,0,,
60104,0,,
60105,0,,
60106,0,,
60107,0,,
60108,0,,
60109,0,,
60110,0,,
60111,0,,
60112,0,,
60113,0,,
60114,0,,
60115,0,,
60116,0,,
60117,0,,
60118,0,,
60119,0,,
60120,0,,
60121,0,,
60122,0,,
60123,0,,
60124,0,,
60201,0,,
60202,0,,
60203,0,,
60204,0,,
60205,0,,
60206,0,,
60207,0,,
60208,0,,
60209,0,,
60210,0,,
60211,0,,
60212,0,,
60213,0,,
60214,0,,
60215,0,,
60216,0,,
60217,0,,
60218,0,,
60219,0,,
60220,0,,
60221,0,,
60222,0,,
60223,0,,
60224,0,,
60301,0,,
60302,0,,
60303,0,,
60304,0,,
60305,0,,
60306,0,,
60307,0,,
60308,0,,
60309,0,,
60310,0,,
60311,0,,
60312,0,,
60313,0,,
60314,0,,
60315,0,,
60316,0,,
60317,0,,
60318,0,,
60319,0,,
60320,0,,
60321,0,,
60322,0,,
60323,0,,
60324,0,,
60401,0,,
60402,0,,
60403,0,,
60404,0,,
60405,0,,
60406,0,,
60407,0,,
60408,0,,
60409,0,,
60410,0,,
60411,0,,
60412,0,,
60413,0,,
60414,0,,
60415,0,,
60416,0,,
60417,0,,
60418,0,,
60419,0,,
60420,0,,
60421,0,,
60422,0,,
60423,0,,
60424,0,,
60501,0,,
60502,0,,
60503,0,,
60504,0,,
60505,0,,
60506,0,,
60507,0,,
60508,0,,
60509,0,,
60510,0,,
60511,0,,
60512,6.25593E-15,,
60513,7.0233E-13,,
60514,2.96933E-10,,
60515,2.17038E-08,,
60516,1.15231E-06,,
60517,2.22713E-06,,
60518,3.43901E-05,,
60519,0.002030191,,
60520,0.002308866,,
60521,2.34133E-06,,
60522,6.86662E-13,,
60523,0,,
60524,0,,
60601,0,,
60602,0,,
60603,0,,
60604,0,,
60605,0,,
60606,0,,
60607,0,,
60608,0,,
60609,0,,
60610,0,,
60611,0,,
60612,0,,
60613,0,,
60614,0,,
60615,0,,
60616,0,,
60617,0,,
60618,0,,
60619,0,,
60620,0,,
60621,0,,
60622,0,,
60623,0,,
60624,0,,
60701,0,,
60702,0,,
60703,0,,
60704,0,,
60705,0,,
60706,0,,
60707,0,,
60708,0,,
60709,0,,
60710,0,,
60711,0,,
60712,0,,
60713,0,,
60714,0,,
60715,0,,
60716,0,,
60717,0,,
60718,0,,
60719,0,,
60720,0,,
60721,0,,
60722,0,,
60723,0,,
60724,0,,
60801,0,,
60802,0,,
60803,0,,
60804,0,,
60805,0,,
60806,0,,
60807,0,,
60808,0,,
60809,0,,
60810,0,,
60811,0,,
60812,0,,
60813,0,,
60814,0,,
60815,0,,
60816,0,,
60817,0,,
60818,0,,
60819,0,,
60820,0,,
60821,0,,
60822,0,,
60823,0,,
60824,0,,
60901,0,,
60902,0,,
60903,0,,
60904,0,,
60905,0,,
60906,0,,
60907,0,,
60908,0,,
60909,0,,
60910,0,,
60911,0,,
60912,0,,
60913,0,,
60914,0,,
60915,0,,
60916,0,,
60917,0,,
60918,0,,
60919,0,,
60920,0,,
60921,0,,
60922,0,,
60923,0,,
60924,0,,
61001,0,,
61002,0,,
61003,0,,
61004,0,,
61005,0,,
61006,0,,
61007,0,,
61008,0,,
61009,0,,
61010,0,,
61011,0,,
61012,0,,
61013,0,,
61014,0,,
61015,0,,
61016,0,,
61017,0,,
61018,0,,
61019,0,,
61020,0,,
61021,0,,
61022,0,,
61023,0,,
61024,0,,
61101,0,,
61102,0,,
61103,0,,
61104,0,,
61105,0,,
61106,0,,
61107,0,,
61108,0,,
61109,0,,
61110,0,,
61111,0,,
61112,0,,
61113,0,,
61114,0,,
61115,0,,
61116,0,,
61117,0,,
61118,0,,
61119,0,,
61120,0,,
61121,0,,
61122,0,,
61123,0,,
61124,0,,
61201,0,,
61202,0,,
61203,0,,
61204,0,,
61205,0,,
61206,0,,
61207,0,,
61208,0,,
61209,0,,
61210,0,,
61211,0,,
61212,0,,
61213,0,,
61214,0,,
61215,0,,
61216,0,,
61217,0,,
61218,0,,
61219,0,,
61220,0,,
61221,0,,
61222,0,,
61223,0,,
61224,0,,
61301,0,,
61302,0,,
61303,0,,
61304,0,,
61305,0,,
61306,0,,
61307,0,,
61308,0,,
61309,0,,
61310,0,,
61311,0,,
61312,0,,
61313,0,,
61314,0,,
61315,0,,
61316,0,,
61317,0,,
61318,0,,
61319,0,,
61320,0,,
61321,0,,
61322,0,,
61323,0,,
61324,0,,
61401,0,,
61402,0,,
61403,0,,
61404,0,,
61405,0,,
61406,0,,
61407,0,,
61408,0,,
